World,Room,File,Use Corrected File?,Offset,Value,Character,Randomize
Traverse Town,1st District,tw01.ard,N,0x001F8540,xa_tw_1000.mdls,Traverse Town NPC / Shopkeeper,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8580,xa_tw_1010.mdls,Traverse Town NPC,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F85C0,xa_tw_1030.mdls,Traverse Town NPC,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8600,xa_tw_1040.mdls,Traverse Town NPC,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8840,xa_ex_1060.mdls,Pluto,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8880,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Traverse Town,1st District,tw01.ard,N,0x001F88C0,xa_ex_7230.mdls,Donald (High-Poly),FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8900,xa_ex_7240.mdls,Goofy (High-Poly),FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8940,xa_ex_1030.mdls,Leon,FALSE
Traverse Town,2nd District,tw02.ard,N,0x00104000,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,2nd District,tw02.ard,N,0x00104040,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,2nd District,tw02.ard,N,0x00104080,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,2nd District,tw02.ard,N,0x001040C0,xa_ex_2450.mdls,Heartless Sniperwild,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104540,xa_tw_3010.mdls,Heartless Guard Armor,FALSE
Traverse Town,2nd District,tw02.ard,N,0x00104580,xa_tw_3000.mdls,Heartless Guard Armor,FALSE
Traverse Town,2nd District,tw02.ard,N,0x00104600,xa_ex_2020.mdls,Heartless Shadow,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104640,xa_ex_2010.mdls,Heartless Soldier,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104680,xa_ex_1031.mdls,Leon,FALSE
Traverse Town,2nd District,tw02.ard,N,0x001046C0,xa_ex_2050.mdls,Heartless Large Body,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104700,xa_ex_2110.mdls,Heartless Red Nocturne,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104740,xa_ex_2120.mdls,Heartless Blue Rhapsody,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104780,xa_ex_2130.mdls,Heartless Yellow Opera,TRUE
Traverse Town,2nd District,tw02.ard,N,0x001047C0,xa_ex_2140.mdls,Heartless Green Requiem,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104800,xa_ex_2230.mdls,Heartless Search Ghost,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104840,xa_ex_2280.mdls,Heartless Darkball,TRUE
Traverse Town,2nd District,tw02.ard,N,0x00104880,xa_ex_2320.mdls,Heartless Wyvern,TRUE
Traverse Town,2nd District,tw02.ard,N,0x001048E0,xa_tw_1000.mdls,Traverse Town NPC / Shopkeeper,FALSE
Traverse Town,3rd District,tw03.ard,N,0x00121E00,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,3rd District,tw03.ard,N,0x00121E40,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,3rd District,tw03.ard,N,0x00121E80,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122280,xa_ex_1031.mdls,Leon,FALSE
Traverse Town,3rd District,tw03.ard,N,0x001222C0,xa_ex_1041.mdls,Yuffie,FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122300,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122340,xa_ex_7230.mdls,Donald (High-Poly),FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122380,xa_ex_7240.mdls,Goofy (High-Poly),FALSE
Traverse Town,3rd District,tw03.ard,N,0x001223C0,xa_ex_1568.mdls,Riku (Soul Eater),FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122400,xa_ex_1650.mdls,Donald (Angry),FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122440,xa_ex_2010.mdls,Heartless Soldier,FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122480,xa_ex_2020.mdls,Heartless Shadow,FALSE
Traverse Town,3rd District,tw03.ard,N,0x001224C0,xa_ex_7190.mdls,Riku (Wooden Sword) (High-Poly),FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122520,xa_tw_3000.mdls,Heartless Guard Armor,FALSE
Traverse Town,3rd District,tw03.ard,N,0x00122560,xa_ex_2110.mdls,Heartless Red Nocturne,FALSE
Traverse Town,3rd District,tw03.ard,N,0x001225A0,xa_ex_2120.mdls,Heartless Blue Rhapsody,FALSE
Traverse Town,3rd District,tw03.ard,N,0x001225E0,xa_ex_2160.mdls,Heartless Air Soldier,FALSE
Traverse Town,Vacant House,tw04.ard,N,0x00030080,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Vacant House,tw04.ard,N,0x000300C0,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Vacant House,tw04.ard,N,0x00030100,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Vacant House,tw04.ard,N,0x000301C0,xa_ex_1031.mdls,Leon,FALSE
Traverse Town,Vacant House,tw04.ard,N,0x00030200,xa_ex_1041.mdls,Yuffie,FALSE
Traverse Town,Vacant House,tw04.ard,N,0x00030240,xa_ex_1140.mdls,Aerith,FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E6B80,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E6BC0,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E6C00,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E6F40,xa_ex_2110.mdls,Heartless Red Nocturne,TRUE
Traverse Town,Alleyway,tw05.ard,N,0x000E6F80,xa_ex_2120.mdls,Heartless Blue Rhapsody,TRUE
Traverse Town,Alleyway,tw05.ard,N,0x000E6FC0,xa_ex_2130.mdls,Heartless Yellow Opera,TRUE
Traverse Town,Alleyway,tw05.ard,N,0x000E7000,xa_ex_2140.mdls,Heartless Green Requiem,TRUE
Traverse Town,Alleyway,tw05.ard,N,0x000E7040,xa_ex_2150.mdls,Heartless Wizard,TRUE
Traverse Town,Alleyway,tw05.ard,N,0x000E7080,xa_ex_2230.mdls,Heartless Search Ghost,TRUE
Traverse Town,Alleyway,tw05.ard,N,0x000E70C0,xa_ex_2280.mdls,Heartless Darkball,FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E7140,xa_ex_1140.mdls,Aerith,FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E7180,xa_ex_7230.mdls,Donald (High-Poly),FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E71C0,xa_ex_1031.mdls,Leon,FALSE
Traverse Town,Alleyway,tw05.ard,N,0x000E7200,xa_ex_2010.mdls,Heartless Soldier,TRUE
Traverse Town,Alleyway,tw05.ard,N,0x000E7240,xa_ex_2020.mdls,Heartless Shadow,TRUE
Traverse Town,Green Room,tw06.ard,N,0x00112D00,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00112D40,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00112D80,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00113240,xa_ex_2120.mdls,Heartless Blue Rhapsody,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00113280,xa_ex_2230.mdls,Heartless Search Ghost,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00113300,xa_ex_1020.mdls,Kairi,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00113340,xa_ex_1031.mdls,Leon,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00113380,xa_ex_1041.mdls,Yuffie,FALSE
Traverse Town,Green Room,tw06.ard,N,0x001133C0,xa_ex_1140.mdls,Aerith,FALSE
Traverse Town,Green Room,tw06.ard,N,0x00113400,xa_ex_2010.mdls,Heartless Soldier,FALSE
Traverse Town,Red Room,tw07.ard,N,0x00075500,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Red Room,tw07.ard,N,0x00075540,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Red Room,tw07.ard,N,0x00075580,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Red Room,tw07.ard,N,0x00075700,xa_ex_2110.mdls,Heartless Red Nocturne,FALSE
Traverse Town,Red Room,tw07.ard,N,0x00075740,xa_ex_2280.mdls,Heartless Darkball,FALSE
Traverse Town,Red Room,tw07.ard,N,0x00075780,xa_ex_1140.mdls,Aerith,FALSE
Traverse Town,Red Room,tw07.ard,N,0x000757C0,xa_ex_2350.mdls,Heartless White Mushroom (Halloween Town),TRUE
Traverse Town,Red Room,tw07.ard,N,0x00075800,xa_ex_2020.mdls,Heartless Shadow,FALSE
Traverse Town,Hallway,tw08.ard,N,0x00055900,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Hallway,tw08.ard,N,0x00055940,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Hallway,tw08.ard,N,0x00055980,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Hallway,tw08.ard,N,0x00055BC0,xa_ex_2010.mdls,Heartless Soldier,TRUE
Traverse Town,Hallway,tw08.ard,N,0x00055C00,xa_ex_2020.mdls,Heartless Shadow,TRUE
Traverse Town,Hallway,tw08.ard,N,0x00055C40,xa_ex_2110.mdls,Heartless Red Nocturne,TRUE
Traverse Town,Hallway,tw08.ard,N,0x00055C80,xa_ex_2120.mdls,Heartless Blue Rhapsody,TRUE
Traverse Town,Hallway,tw08.ard,N,0x00055CC0,xa_ex_2130.mdls,Heartless Yellow Opera,TRUE
Traverse Town,Hallway,tw08.ard,N,0x00055D00,xa_ex_2150.mdls,Heartless Wizard,TRUE
Traverse Town,Hallway,tw08.ard,N,0x00055D40,xa_ex_2340.mdls,Heartless Defender,TRUE
Traverse Town,Mystical House,tw09.ard,N,0x000DD700,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Mystical House,tw09.ard,N,0x000DD740,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Mystical House,tw09.ard,N,0x000DD780,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Item Shop,tw10.ard,N,0x00052680,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Item Shop,tw10.ard,N,0x000526C0,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Item Shop,tw10.ard,N,0x00052700,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Item Shop,tw10.ard,N,0x00052900,xa_ex_1110.mdls,Huey,FALSE
Traverse Town,Item Shop,tw10.ard,N,0x00052940,xa_ex_1120.mdls,Dewey,FALSE
Traverse Town,Item Shop,tw10.ard,N,0x00052980,xa_ex_1130.mdls,Louie,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9000,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9040,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9080,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9340,xa_ex_1200.mdls,Moogle,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9380,xa_tw_1000.mdls,Traverse Town NPC / Shopkeeper,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B93C0,xa_ex_1540.mdls,Cid,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9400,xa_dc_1070.mdls,Jimminy Cricket,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9440,xa_pi_1008.mdls,Pinocchio,FALSE
Traverse Town,Accessory Shop,tw11.ard,N,0x000B9480,xa_pi_7000.mdls,Pinocchio (High-Poly),FALSE
Traverse Town,Item Workshop,tw12.ard,N,0x000BE880,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Item Workshop,tw12.ard,N,0x000BE8C0,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Item Workshop,tw12.ard,N,0x000BE900,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Item Workshop,tw12.ard,N,0x000BEB40,xa_ex_1200.mdls,Moogle,FALSE
Traverse Town,Geppetto's House,tw13.ard,N,0x000CE180,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Geppetto's House,tw13.ard,N,0x000CE1C0,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Geppetto's House,tw13.ard,N,0x000CE200,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Geppetto's House,tw13.ard,N,0x000CEAC0,xa_pi_1000.mdls,Pinocchio,FALSE
Traverse Town,Geppetto's House,tw13.ard,N,0x000CEB00,xa_pi_1010.mdls,Geppetto,FALSE
Traverse Town,Geppetto's House,tw13.ard,N,0x000CEB40,xa_pi_1020.mdls,Pinocchio (Human),FALSE
Traverse Town,Dalmatian's Den,tw14.ard,N,0x00061700,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Dalmatian's Den,tw14.ard,N,0x00061900,xa_ex_1260.mdls,Dalmation,FALSE
Traverse Town,Dining Room,tw15.ard,N,0x00053680,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Dining Room,tw15.ard,N,0x00053800,xa_ex_1260.mdls,Dalmation,FALSE
Traverse Town,Living Room,tw16.ard,N,0x00053A80,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Living Room,tw16.ard,N,0x00053BC0,xa_ex_1260.mdls,Dalmation,FALSE
Traverse Town,Piano Room,tw17.ard,N,0x00061080,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Piano Room,tw17.ard,N,0x00061280,xa_ex_1210.mdls,Pongo (Dalmation),FALSE
Traverse Town,Piano Room,tw17.ard,N,0x000612C0,xa_ex_1220.mdls,Perdita (Dalmation),FALSE
Traverse Town,Piano Room,tw17.ard,N,0x00061300,xa_ex_1230.mdls,Dalmation,FALSE
Traverse Town,Piano Room,tw17.ard,N,0x00061340,xa_ex_1260.mdls,Dalmation,FALSE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015DF80,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015DFC0,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E000,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E640,xa_ex_2050.mdls,Heartless Large Body,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E680,xa_ex_2130.mdls,Heartless Yellow Opera,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E6C0,xa_ex_2140.mdls,Heartless Green Requiem,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E700,xa_ex_2160.mdls,Heartless Air Soldier,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E740,xa_ex_2150.mdls,Heartless Wizard,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E780,xa_ex_2230.mdls,Heartless Search Ghost,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E7C0,xa_ex_2280.mdls,Heartless Darkball,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E800,xa_ex_2320.mdls,Heartless Wyvern,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E840,xa_ex_2340.mdls,Heartless Defender,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E880,xa_ex_2020.mdls,Heartless Shadow,TRUE
Traverse Town,Gizmo Shop,tw18.ard,N,0x0015E8C0,xa_ex_2010.mdls,Heartless Soldier,TRUE
Traverse Town,Magician's Study (Pre Merlin),tw19.ard,N,0x00104400,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Magician's Study (Pre Merlin),tw19.ard,N,0x00104440,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Magician's Study (Pre Merlin),tw19.ard,N,0x00104480,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Magician's Study (Pre Merlin),tw19.ard,N,0x00104800,xa_ex_1020.mdls,Kairi,FALSE
Traverse Town,Magician's Study (Pre Merlin),tw19.ard,N,0x00104840,xa_ex_7140.mdls,Kairi (High-Poly),FALSE
Traverse Town,Magician's Study (Pre Merlin),tw19.ard,N,0x00104880,xa_tw_1050.mdls,Merlin,FALSE
Traverse Town,Magician's Study,tw20.ard,N,0x000D2500,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Magician's Study,tw20.ard,N,0x000D2540,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Magician's Study,tw20.ard,N,0x000D2580,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Magician's Study,tw20.ard,N,0x000D2880,xa_ex_1100.mdls,Fairy Godmother,FALSE
Traverse Town,Magician's Study,tw20.ard,N,0x000D28C0,xa_tw_1050.mdls,Merlin,FALSE
Traverse Town,Magician's Lab,tw21.ard,N,0x000D0180,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,Magician's Lab,tw21.ard,N,0x000D01C0,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,Magician's Lab,tw21.ard,N,0x000D0200,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,Magician's Lab,tw21.ard,N,0x000D0480,xa_tw_1050.mdls,Merlin,FALSE
