World,Location,Action,Item,Number,File,Use Corrected File?,Index,Offset
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,3,C0B9
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_arde.evdl,N,1,BFAD
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_arde.evdl,N,2,BFB9
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_arde.evdl,N,3,BFC5
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,1,C1C5
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,2,C1D1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,3,C1DD
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,1,C201
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,2,C20D
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,3,C219
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,1,3045
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,2,3051
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,3,305D
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,1,C389
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,2,C395
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,3,C3A1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,1,C231
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,2,C23D
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,3,C249
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_arde.evdl,N,1,C13D
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_arde.evdl,N,2,C149
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_arde.evdl,N,3,C155
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard0.evdl,N,1,C1C5
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard0.evdl,N,2,C1D1
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard0.evdl,N,3,C1DD
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard2.evdl,N,1,13A6A
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard2.evdl,N,2,13A76
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard2.evdl,N,3,13A82
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard4.evdl,N,1,10805
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard4.evdl,N,2,10811
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard4.evdl,N,3,1081D
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard10.evdl,N,1,C201
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard10.evdl,N,2,C20D
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard10.evdl,N,3,C219
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard19.evdl,N,1,3045
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard19.evdl,N,2,3051
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard19.evdl,N,3,305D
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardc.evdl,N,1,C395
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardc.evdl,N,2,C3A1
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardc.evdl,N,3,C3AD
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardd.evdl,N,1,C231
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardd.evdl,N,2,C23D
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardd.evdl,N,3,C249
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_arde.evdl,N,1,C145
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_arde.evdl,N,2,C151
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_arde.evdl,N,3,C15D
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard0.evdl,N,1,D979
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard0.evdl,N,2,D985
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard0.evdl,N,3,D991
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard2.evdl,N,1,11951
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard2.evdl,N,2,1195D
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard2.evdl,N,3,11969
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard3.evdl,N,1,E785
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard3.evdl,N,2,E791
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard3.evdl,N,3,E79D
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,1,DCED
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,2,DCF9
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,3,DD05
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard5.evdl,N,1,10929
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard5.evdl,N,2,10935
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard5.evdl,N,3,10941
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard19.evdl,N,1,274D
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard19.evdl,N,2,2759
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard19.evdl,N,3,2765
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardc.evdl,N,1,BAA9
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardc.evdl,N,2,BAB5
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardc.evdl,N,3,BAC1
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardd.evdl,N,1,B9A1
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardd.evdl,N,2,B9AD
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardd.evdl,N,3,B9B9
Traverse Town,1st District,Defeat Guard Armor,Fire,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,1,1336A
Traverse Town,1st District,Defeat Guard Armor,Fire,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,2,13376
Traverse Town,1st District,Defeat Guard Armor,Fire,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,3,13382
Traverse Town,1st District,Defeat Guard Armor,Blue Trinity,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,1,134FA
Traverse Town,1st District,Defeat Guard Armor,Blue Trinity,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,2,13506
Traverse Town,1st District,Defeat Guard Armor,Blue Trinity,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,3,13512
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard0.evdl,N,1,B1B9
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard0.evdl,N,2,B1C5
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard0.evdl,N,3,B1D1
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard2.evdl,N,1,F795
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard2.evdl,N,2,F7A1
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard2.evdl,N,3,F7AD
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard3.evdl,N,1,B309
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard3.evdl,N,2,B315
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard3.evdl,N,3,B321
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard10.evdl,N,1,B1F5
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard10.evdl,N,2,B201
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard10.evdl,N,3,B20D
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard19.evdl,N,1,2039
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard19.evdl,N,2,2045
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ard19.evdl,N,3,2051
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ardc.evdl,N,1,B37D
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ardc.evdl,N,2,B389
Traverse Town,Geppetto's House,Examine Shelf,Postcard,1,/remastered/tw25.ard/UK_tw25_ardc.evdl,N,3,B395
Deep Jungle,Camp,Rescue Gorillas,Protect-G,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,5071
Deep Jungle,Camp,Rescue Gorillas,Protect-G,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,507D
Deep Jungle,Camp,Rescue Gorillas,Protect-G,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,3,5089
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,6521
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,652D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,3,6D4D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,4,6D59
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,1,6059
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,2,6065
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,3,6885
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,4,6891
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,1,53FD
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,2,5409
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,3,5C29
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,4,5C35
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,1,4CD5
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,2,4CE1
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,3,5501
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,4,550D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,1,4CD5
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,2,4CE1
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,3,5501
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,4,550D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,1,2C91
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,2,2C9D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,3,34BD
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,4,34C9
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,1,4CD5
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,2,4CE1
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,3,5501
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,4,550D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,1,4D61
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,2,4D6D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,3,558D
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,4,5599
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,1,7A2D
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,2,7A39
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,3,7B09
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,4,7B15
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,1,7D19
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,2,7D25
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,7EF5
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,7F01
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,3,81E1
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,4,81ED
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,7FD1
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,7FDD
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,1,6DD1
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,2,6DDD
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,3,6EAD
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,4,6EB9
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,1,70BD
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,2,70C9
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,1,66A9
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,2,66B5
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,3,6785
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,4,6791
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,1,6995
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,2,69A1
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,1,66A9
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,2,66B5
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,3,6785
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,4,6791
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,1,6995
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,2,69A1
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,1,4665
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,2,4671
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,3,4741
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,4,474D
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,1,4951
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,2,495D
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,1,66A9
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,2,66B5
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,3,6785
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,4,6791
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,1,6995
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,2,69A1
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,1,6735
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,2,6741
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,3,6811
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,4,681D
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,1,6A21
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,2,6A2D
Deep Jungle,Bamboo Thicket,Rescue Gorillas,Fire-G,1,/remastered/tz03.ard/UK_tz03_ard2.evdl,Y,1,444D
Deep Jungle,Bamboo Thicket,Rescue Gorillas,Fire-G,1,/remastered/tz03.ard/UK_tz03_ard2.evdl,Y,2,4459
Deep Jungle,Bamboo Thicket,Rescue Gorillas,Fire-G,1,/remastered/tz03.ard/UK_tz03_ard2.evdl,Y,3,4465
Deep Jungle,Cliff,Rescue Gorillas,Aeroga-G,1,/remastered/tz12.ard/UK_tz12_ard2.evdl,Y,1,4475
Deep Jungle,Cliff,Rescue Gorillas,Aeroga-G,1,/remastered/tz12.ard/UK_tz12_ard2.evdl,Y,2,4481
Deep Jungle,Cliff,Rescue Gorillas,Aeroga-G,1,/remastered/tz12.ard/UK_tz12_ard2.evdl,Y,3,448D
Deep Jungle,Climbing Trees,Rescue Gorillas,Aeroga-G,1,/remastered/tz07.ard/UK_tz07_ard2.evdl,Y,1,459D
Deep Jungle,Climbing Trees,Rescue Gorillas,Aeroga-G,1,/remastered/tz07.ard/UK_tz07_ard2.evdl,Y,2,45A9
Deep Jungle,Climbing Trees,Rescue Gorillas,Aeroga-G,1,/remastered/tz07.ard/UK_tz07_ard2.evdl,Y,3,45B5
