World,Location,Action,Item,Number,File,Use Corrected File?,Index,Offset,AP Location ID,AP Location Name
Traverse Town,Item Workshop,Examine Poster,Postcard,1,tw12.ard,N,6,E088D,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,1,C041,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,2,C04D,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,1,C07D,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,2,C089,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,1,2EC1,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,2,2ECD,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,1,C205,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,2,C211,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,1,C0AD,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,2,C0B9,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_arde.evdl,N,1,BFB9,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_arde.evdl,N,2,BFC5,2656502,Traverse Town Gizmo Shop Postcard 1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,1,C1D1,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,2,C1DD,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,1,C20D,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,2,C219,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,1,3051,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,2,305D,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,1,C395,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,2,C3A1,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,1,C23D,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,2,C249,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_arde.evdl,N,1,C149,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,Gizmo Shop,Examine Clock,Postcard,2,/remastered/tw18.ard/UK_tw18_arde.evdl,N,2,C155,2656503,Traverse Town Gizmo Shop Postcard 2
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,1,B7085,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,2,B7091,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,3,CA0E1,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,4,CA0ED,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,5,DB955,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,6,DB961,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,7,EDCC9,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,8,EDCD5,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,9,FEB41,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,10,FEB4D,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,11,10A495,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,tw25.ard,N,12,10A4A1,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard0.evdl,N,1,B1C5,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard0.evdl,N,2,B1D1,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard2.evdl,N,1,F7A1,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard2.evdl,N,2,F7AD,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard3.evdl,N,1,B315,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard3.evdl,N,2,B321,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard10.evdl,N,1,B201,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard10.evdl,N,2,B20D,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard19.evdl,N,1,2045,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ard19.evdl,N,2,2051,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ardc.evdl,N,1,B389,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw25.ard/UK_tw25_ardc.evdl,N,2,B395,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard0.evdl,N,1,C1D1,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard0.evdl,N,2,C1DD,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard2.evdl,N,1,13A76,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard2.evdl,N,2,13A82,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard4.evdl,N,1,10811,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard4.evdl,N,2,1081D,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard10.evdl,N,1,C20D,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard10.evdl,N,2,C219,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard19.evdl,N,1,3051,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ard19.evdl,N,2,305D,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardc.evdl,N,1,C3A1,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardc.evdl,N,2,C3AD,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardd.evdl,N,1,C23D,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_ardd.evdl,N,2,C249,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_arde.evdl,N,1,C151,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,3rd District,Examine Balcony Corner,Postcard,1,/remastered/tw03.ard/UK_tw03_arde.evdl,N,2,C15D,2656505,Traverse Town 3rd District Balcony Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard0.evdl,N,1,D985,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard0.evdl,N,2,D991,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard2.evdl,N,1,1195D,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard2.evdl,N,2,11969,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard3.evdl,N,1,E791,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard3.evdl,N,2,E79D,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,1,DCF9,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,2,DD05,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard5.evdl,N,1,10935,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard5.evdl,N,2,10941,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard19.evdl,N,1,2759,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ard19.evdl,N,2,2765,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardc.evdl,N,1,BAB5,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardc.evdl,N,2,BAC1,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardd.evdl,N,1,B9AD,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01_ardd.evdl,N,2,B9B9,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01a.ev,N,1,D9B1,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Examine Safe,Postcard,1,/remastered/tw01.ard/UK_tw01a.ev,N,2,D9BD,2656501,Traverse Town 1st District Safe Postcard
Traverse Town,1st District,Defeat Guard Armor,Fire,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,1,13376,2656012,Traverse Town Defeat Guard Armor Fire Event
Traverse Town,1st District,Defeat Guard Armor,Fire,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,2,13382,2656012,Traverse Town Defeat Guard Armor Fire Event
Traverse Town,1st District,Defeat Guard Armor,Blue Trinity,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,1,13506,2656013,Traverse Town Defeat Guard Armor Blue Trinity Event
Traverse Town,1st District,Defeat Guard Armor,Blue Trinity,1,/remastered/tw01.ard/UK_tw01_ard4.evdl,Y,2,13512,2656013,Traverse Town Defeat Guard Armor Blue Trinity Event
Deep Jungle,Camp,Rescue Gorillas,Protect-G,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,5071,2656366,Deep Jungle Camp Save Gorillas
Deep Jungle,Camp,Rescue Gorillas,Protect-G,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,507D,2656366,Deep Jungle Camp Save Gorillas
Deep Jungle,Camp,Rescue Gorillas,Protect-G,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,3,5089,2656366,Deep Jungle Camp Save Gorillas
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,6521,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,652D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,3,6D4D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,4,6D59,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,1,6059,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,2,6065,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,3,6885,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,4,6891,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,1,53FD,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,2,5409,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,3,5C29,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,4,5C35,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,1,4CD5,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,2,4CE1,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,3,5501,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,4,550D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,1,4CD5,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,2,4CE1,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,3,5501,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard13.evdl,N,4,550D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,1,2C91,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,2,2C9D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,3,34BD,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ard19.evdl,N,4,34C9,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,1,4CD5,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,2,4CE1,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,3,5501,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_arde.evdl,N,4,550D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,1,4D61,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,2,4D6D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,3,558D,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Fire Experiment,Hi-Potion,1,/remastered/tz13.ard/UK_tz13_ardf.evdl,N,4,5599,2656361,Deep Jungle Camp Hi-Potion Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,1,7A2D,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,2,7A39,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,1,7B09,2656363,Deep Jungle Camp Replication Experiment
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,2,7B15,2656363,Deep Jungle Camp Replication Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,3,7D19,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard0.evdl,N,4,7D25,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,7EF5,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,7F01,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,1,81E1,2656363,Deep Jungle Camp Replication Experiment
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,2,81ED,2656363,Deep Jungle Camp Replication Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,3,7FD1,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard1.evdl,Y,4,7FDD,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,1,6DD1,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,2,6DDD,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,1,6EAD,2656363,Deep Jungle Camp Replication Experiment
Deep Jungle,Camp,Replication Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,2,6EB9,2656363,Deep Jungle Camp Replication Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,3,70BD,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard2.evdl,N,4,70C9,2656362,Deep Jungle Camp Ether Experiment
Deep Jungle,Camp,Blizzard Experiment,Ether,1,/remastered/tz13.ard/UK_tz13_ard11.evdl,N,1,66A9,2656362,Deep Jungle Camp Ether Experiment
